col_names,adept_col_names
Code,Code
Ca    (mg),Calcium (milligrams) (calcium)
Fe   (mg),Iron (milligrams) (iron)
Zn     (mg),Zinc (milligrams) (zinc)
Vit A-RAE (mcg),Vitamin A (micrograms of RAE) (vita_rae)
Retinol (mcg),Retinol (micrograms) (retinol)
beta-carotene equivalent (mcg),Betacarotene equivalents (micrograms) (betacar)
Thiamin (mg),Vitamin B1 (Thiamine) (milligrams) (vit_b1)
Riboflavin  (mg),Vitamin B2 (Riboflavin) (milligrams) (vit_b2)
Vit B6 (mg),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6)
Folate (mcg),Folate (micrograms) (folate)
Vit B12 (mcg),Vitamin B12 (Cobalamine) (micrograms) (vit_b12)
Vit C (mg),Vitamin C (Ascorbic Acid) (milligrams) (vit_c)
Mg (mg),Magnesium (milligrams)
P         (mg),Phosphorus (milligrams)
K      (mg),Potassium (milligrams)
Na     (mg),Sodium (milligrams)
Cu     (mg),Copper (milligrams)
Vit D (mcg),Vitamin D (micrograms)
Vit E    (mg),Vitamin E (milligrams)
Niacin (mg),Niacin (milligrams)
